Date,Open,High,Low,Close,Adj Close,Volume
2022-03-04,6921.315918,6936.988770,6895.730957,6928.328125,6928.328125,247492300
2022-03-07,6905.324219,6917.933105,6843.812012,6869.065918,6869.065918,261271800
2022-03-08,6895.630859,6929.862793,6814.183105,6814.183105,6814.183105,246218500
2022-03-09,6836.671875,6888.930176,6824.090820,6864.440918,6864.440918,209971800
2022-03-10,6897.174805,6924.007813,6837.725098,6924.007813,6924.007813,194071700
2022-03-11,6872.631836,6922.602051,6853.857910,6922.602051,6922.602051,174120300
2022-03-14,6949.206055,6969.993164,6918.312988,6952.204102,6952.204102,193318000
2022-03-15,6968.349121,6996.320801,6894.920898,6918.185059,6918.185059,189709300
2022-03-16,6951.352051,6992.395020,6946.842773,6992.395020,6992.395020,171297500
2022-03-17,7016.532227,7032.702148,6949.166016,6964.384766,6964.384766,197411300
2022-03-18,6981.262207,7000.587891,6926.414063,6954.964844,6954.964844,198102900
2022-03-21,6945.893066,6974.153809,6929.934082,6955.181152,6955.181152,216686100
2022-03-22,6974.977051,7003.259766,6968.201172,7000.821777,7000.821777,188258200
2022-03-23,7010.838867,7022.043945,6976.159180,6996.115234,6996.115234,214242900
2022-03-24,6986.183105,7049.685059,6977.833984,7049.685059,7049.685059,264967400
2022-03-25,7050.553223,7055.340820,6978.398926,7002.532227,7002.532227,201857500
2022-03-28,6996.317871,7051.541016,6987.223145,7049.603027,7049.603027,174012100
2022-03-29,7052.734863,7072.777832,7007.910156,7011.688965,7011.688965,185204100
2022-03-30,7037.202148,7055.866211,7022.651855,7053.189941,7053.189941,194572800
2022-03-31,7070.761230,7099.497070,7049.810059,7071.441895,7071.441895,178707400
2022-04-01,7093.699219,7099.301758,7040.491211,7078.759766,7078.759766,157645900
2022-04-04,7082.247070,7116.217773,7060.213867,7116.217773,7116.217773,173611100
2022-04-05,7122.914063,7148.298828,7110.110840,7148.298828,7148.298828,184230300
2022-04-06,7128.412109,7147.992188,7090.224121,7104.215820,7104.215820,216736400
2022-04-07,7115.086914,7145.167969,7097.903809,7127.367188,7127.367188,204797800
2022-04-08,7157.309082,7216.494141,7151.258789,7210.834961,7210.834961,207396700
2022-04-11,7212.002930,7355.299805,7194.607910,7203.793945,7203.793945,334575500
2022-04-12,7205.077148,7320.236816,7146.585938,7214.780762,7214.780762,253923400
2022-04-13,7240.188965,7266.398926,7212.857910,7262.776855,7262.776855,245926100
2022-04-14,7265.319824,7282.905762,7234.333008,7235.532227,7235.532227,238683900
2022-04-18,7245.503906,7277.075195,7243.360840,7275.289063,7275.289063,210765700
2022-04-19,7283.416992,7297.394043,7199.231934,7199.231934,7199.231934,214778100
2022-04-20,7226.872070,7262.558105,7184.964844,7227.361816,7227.361816,266258400
2022-04-21,7249.497070,7294.671875,7245.726074,7276.192871,7276.192871,177135800
2022-04-22,7251.980957,7291.479980,7174.810059,7225.605957,7225.605957,249844600
2022-04-25,7204.161133,7234.314941,7121.859863,7215.979004,7215.979004,212314600
2022-04-26,7208.922852,7247.475098,7161.659180,7232.152832,7232.152832,197362000
2022-04-27,7211.710938,7226.019043,7175.066895,7196.764160,7196.764160,201981800
2022-04-28,7260.270020,7267.111816,7204.599121,7228.914063,7228.914063,194334400
2022-05-09,7154.916992,7156.483887,6896.999023,6909.750977,6909.750977,212774700
2022-05-10,6747.562988,6832.098145,6662.611816,6819.793945,6819.793945,193141700
